"county","population","tmean_avg","ppt_avg","year","cases"
"ALAMEDA",2e+06,14.9107209055378,40.7927729232277,"2002",0
"ALAMEDA",1285714,14.9107209055378,40.7927729232277,"2003",12
"ALAMEDA",1333333,14.9107209055378,40.7927729232277,"2004",12
"ALAMEDA",1375000,14.9107209055378,40.7927729232277,"2005",12
"ALAMEDA",1363636,14.9107209055378,40.7927729232277,"2006",24
"ALAMEDA",1368421,14.9107209055378,40.7927729232277,"2007",24
"ALAMEDA",1350000,14.9107209055378,40.7927729232277,"2008",24
"ALAMEDA",1333333,14.9107209055378,40.7927729232277,"2009",12
"ALAMEDA",1428571,14.9107209055378,40.7927729232277,"2010",24
"ALAMEDA",1437500,14.9107209055378,40.7927729232277,"2011",24
"ALAMEDA",1400000,14.9107209055378,40.7927729232277,"2012",24
"ALAMEDA",1473684,14.9107209055378,40.7927729232277,"2013",24
"ALAMEDA",1500000,14.9107209055378,40.7927729232277,"2014",24
"ALAMEDA",1520000,14.9107209055378,40.7927729232277,"2015",36
"ALAMEDA",1500000,14.9107209055378,40.7927729232277,"2016",48
"ALAMEDA",1534884,14.9107209055378,40.7927729232277,"2017",72
"ALAMEDA",1530612,14.9107209055378,40.7927729232277,"2018",72
"ALAMEDA",1548387,14.9107209055378,40.7927729232277,"2019",96
"ALAMEDA",1558140,14.9107209055378,40.7927729232277,"2020",72
"ALAMEDA",1555556,14.9107209055378,40.7927729232277,"2021",96
"ALAMEDA",1520000,14.9107209055378,40.7927729232277,"2022",72
"ALAMEDA",1525424,14.9107209055378,40.7927729232277,"2023",96
"AMADOR",37037,15.1837473145741,71.5251585316628,"2004",0
"AMADOR",37037,15.1837473145741,71.5251585316628,"2005",0
"AMADOR",38095,15.1837473145741,71.5251585316628,"2006",0
"AMADOR",37736,15.1837473145741,71.5251585316628,"2007",0
"AMADOR",37975,15.1837473145741,71.5251585316628,"2008",0
"AMADOR",37736,15.1837473145741,71.5251585316628,"2009",0
"AMADOR",37736,15.1837473145741,71.5251585316628,"2010",0
"AMADOR",37037,15.1837473145741,71.5251585316628,"2011",0
"AMADOR",37037,15.1837473145741,71.5251585316628,"2012",0
"AMADOR",37037,15.1837473145741,71.5251585316628,"2015",0
"AMADOR",38462,15.1837473145741,71.5251585316628,"2017",0
"AMADOR",40000,15.1837473145741,71.5251585316628,"2018",12
"AMADOR",40323,15.1837473145741,71.5251585316628,"2019",0
"AMADOR",40462,15.1837473145741,71.5251585316628,"2020",12
"AMADOR",40000,15.1837473145741,71.5251585316628,"2021",0
"AMADOR",40000,15.1837473145741,71.5251585316628,"2022",0
"AMADOR",40000,15.1837473145741,71.5251585316628,"2023",12
"CALAVERAS",43478,15.1613681748605,63.8406939635514,"2003",0
"CALAVERAS",45455,15.1613681748605,63.8406939635514,"2011",0
"CALAVERAS",45455,15.1613681748605,63.8406939635514,"2012",0
"CALAVERAS",45455,15.1613681748605,63.8406939635514,"2013",0
"CALAVERAS",45455,15.1613681748605,63.8406939635514,"2014",0
"CALAVERAS",45455,15.1613681748605,63.8406939635514,"2015",0
"CALAVERAS",45455,15.1613681748605,63.8406939635514,"2016",0
"CALAVERAS",45455,15.1613681748605,63.8406939635514,"2018",0
